,beta,size,value,momentum,reversal,liquidity,skewness,idiosyncraticVolatility,eretM,capM,rfM,mktRetM,rpM,ff3M,ffcM,ff5M,hxz4M
0,D_12M,size,bm,mom,reversal,illiq_12M,skewD_D_12M,volD_D_12M,eretM,capM,rfM,mktRetM,rp,ff3M__rp,ffcM__rp,ff5M__rp,hxz4M__rsmb
1,D_1M,mktCap_ff,logbm,r12,,illiq_1M,skewD_D_1M,volD_D_1M,,,,,,ff3M__smb,ffcM__smb,ff5M__smb,hxz4M__ria
2,D_24M,size_ff,,r6,,illiq_3M,skewD_D_24M,volD_D_24M,,,,,,ff3M__hml,ffcM__hml,ff5M__hml,hxz4M__rroe
3,D_3M,,,R12M,,illiq_6M,skewD_D_3M,volD_D_3M,,,,,,,ffcM__mom,ff5M__rmw,hxz4M__rp
4,D_6M,,,R9M,,ln_illiq_12M,skewD_D_6M,volD_D_6M,,,,,,,,ff5M__cma,
5,M_12M,,,R6M,,ln_illiq_1M,coskewD_D_12M,volssD_D_12M,,,,,,,,,
6,M_24M,,,R3M,,ln_illiq_3M,coskewD_D_1M,volssD_D_1M,,,,,,,,,
7,M_36M,,,,,ln_illiq_6M,coskewD_D_24M,volssD_D_24M,,,,,,,,,
8,M_60M,,,,,liqBeta,coskewD_D_3M,volssD_D_3M,,,,,,,,,
9,,,,,,,coskewD_D_6M,volssD_D_6M,,,,,,,,,
10,,,,,,,idioskewD_D_12M,idioVol_capmD_D_12M,,,,,,,,,
11,,,,,,,idioskewD_D_1M,idioVol_capmD_D_1M,,,,,,,,,
12,,,,,,,idioskewD_D_24M,idioVol_capmD_D_24M,,,,,,,,,
13,,,,,,,idioskewD_D_3M,idioVol_capmD_D_3M,,,,,,,,,
14,,,,,,,idioskewD_D_6M,idioVol_capmD_D_6M,,,,,,,,,
15,,,,,,,skewM_M_12M,idioVol_ff3D_D_12M,,,,,,,,,
16,,,,,,,skewM_M_24M,idioVol_ff3D_D_1M,,,,,,,,,
17,,,,,,,skewM_M_36M,idioVol_ff3D_D_24M,,,,,,,,,
18,,,,,,,skewM_M_60M,idioVol_ff3D_D_3M,,,,,,,,,
19,,,,,,,coskewM_M_12M,idioVol_ff3D_D_6M,,,,,,,,,
20,,,,,,,coskewM_M_24M,volM_M_12M,,,,,,,,,
21,,,,,,,coskewM_M_36M,volM_M_24M,,,,,,,,,
22,,,,,,,coskewM_M_60M,volM_M_36M,,,,,,,,,
23,,,,,,,idioskewM_M_12M,volM_M_60M,,,,,,,,,
24,,,,,,,idioskewM_M_24M,volssM_M_12M,,,,,,,,,
25,,,,,,,idioskewM_M_36M,volssM_M_24M,,,,,,,,,
26,,,,,,,idioskewM_M_60M,volssM_M_36M,,,,,,,,,
27,,,,,,,,volssM_M_60M,,,,,,,,,
28,,,,,,,,idioVol_capmM_M_12M,,,,,,,,,
29,,,,,,,,idioVol_capmM_M_24M,,,,,,,,,
30,,,,,,,,idioVol_capmM_M_36M,,,,,,,,,
31,,,,,,,,idioVol_capmM_M_60M,,,,,,,,,
32,,,,,,,,idioVol_ff3M_M_12M,,,,,,,,,
33,,,,,,,,idioVol_ff3M_M_24M,,,,,,,,,
34,,,,,,,,idioVol_ff3M_M_36M,,,,,,,,,
35,,,,,,,,idioVol_ff3M_M_60M,,,,,,,,,
36,,,,,,,,idioVol_ffcM_M_12M,,,,,,,,,
37,,,,,,,,idioVol_ffcM_M_24M,,,,,,,,,
38,,,,,,,,idioVol_ffcM_M_36M,,,,,,,,,
39,,,,,,,,idioVol_ffcM_M_60M,,,,,,,,,
